zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,major_highways
30188,34.11873,-84.45526,Woodstock,GA,Georgia,True,,69518.0,614.5,13057,Cherokee,"{""13057"": 98.91, ""13067"": 0.99, ""13121"": 0.1}",Cherokee|Cobb|Fulton,13057|13067|13121,False,False,America/New_York,"I-75, I-85"
10463,40.88841,-73.89905,Bronx,NY,New York,True,,69470.0,9743.6,36005,Bronx,"{""36005"": 96.0, ""36061"": 4.0}",Bronx|New York,36005|36061,False,False,America/New_York,"I-87, I-90"
10023,40.77464,-73.97836,New York,NY,New York,True,,69455.0,27666.6,36061,New York,"{""36061"": 100}",New York,36061,False,False,America/New_York,"I-90, I-95"
29072,33.9985,-81.27098,Lexington,SC,South Carolina,True,,69407.0,393.9,45063,Lexington,"{""45063"": 100}",Lexington,45063,False,False,America/New_York,"I-90, I-80"
95687,38.3344,-121.91765,Vacaville,CA,California,True,,69390.0,601.3,6095,Solano,"{""06095"": 100}",Solano,06095,False,False,America/Los_Angeles,"I-10, I-80"
11691,40.60152,-73.76173,Far Rockaway,NY,New York,True,,69359.0,9979.8,36081,Queens,"{""36081"": 100}",Queens,36081,False,False,America/New_York,"I-90, I-495"
90255,33.97697,-118.21725,Huntington Park,CA,California,True,,69349.0,7185.5,6037,Los Angeles,"{""06037"": 100}",Los Angeles,06037,False,False,America/Los_Angeles,"I-80, I-405"
91766,34.04192,-117.75698,Pomona,CA,California,True,,69327.0,2650.6,6037,Los Angeles,"{""06037"": 95.85, ""06071"": 4.15}",Los Angeles|San Bernardino,06037|06071,False,False,America/Los_Angeles,"I-80, I-5"
75098,33.01432,-96.53531,Wylie,TX,Texas,True,,69325.0,836.2,48085,Collin,"{""48085"": 82.66, ""48397"": 8.8, ""48113"": 8.54}",Collin|Rockwall|Dallas,48085|48397|48113,False,False,America/Chicago,"I-10, I-10"
78253,29.46899,-98.78885,San Antonio,TX,Texas,True,,69282.0,498.9,48029,Bexar,"{""48029"": 62.69, ""48325"": 37.31}",Bexar|Medina,48029|48325,False,False,America/Chicago,"I-45, I-10"
32828,28.53052,-81.17022,Orlando,FL,Florida,True,,69202.0,1282.6,12095,Orange,"{""12095"": 100}",Orange,12095,False,False,America/New_York,"I-95, I-4"
89110,36.17367,-115.05549,Las Vegas,NV,Nevada,True,,69107.0,2790.9,32003,Clark,"{""32003"": 100}",Clark,32003,False,False,America/Los_Angeles,"I-90, I-80"
77521,29.81298,-94.96233,Baytown,TX,Texas,True,,69038.0,541.0,48201,Harris,"{""48201"": 76.7, ""48071"": 23.3}",Harris|Chambers,48201|48071,False,False,America/Chicago,"I-10, I-20"
11706,40.706,-73.24208,Bay Shore,NY,New York,True,,68976.0,1573.0,36103,Suffolk,"{""36103"": 100}",Suffolk,36103,False,False,America/New_York,"I-90, I-495"
